arquivo_original,arquivo_final,nome_estabelecimento,instagram,texto_experiencia,endereco
quintal-urbano.jpg,quintal-urbano.jpg,Quintal Urbano,@quintalurbanopizzaria,"Na compra de 1 pizza broto tradicional, seu acompanhante ganha outra pizza broto tradicional de igual ou menor valor. Exceto as pizzas especiais.",Rua Eugênio de Medeiros 458
hacken.jpg,hacken.jpg,Hacken,@akkan_oficial,"Na compra de um grab a = set, seu acompanhante ganha outro de igual ou AR menor valor.",Rua Joaquim Antunes 424
albero-dei-gelati.jpg,albero-dei-gelati.jpg,Albero Dei Gelati,,"Compre 1 gelato pequeno, médio ou grande e seu acompanhante ganha outro do mesmo tamanho.",Rua dos Pinheiros 342
almazem-restaurante.jpg,almazem-restaurante.jpg,Almazém Restaurante,@almazen_chefmazenzwawe,Na compra de um rodízio completo ganhe 50% de desconto na compra do rodízio completo do seu acompanhante.,Rua Morato Coelho 1327
alminos-restaurante.jpg,alminos-restaurante.jpg,Alminos Restaurante,@almimas.restaurante,Primeiro Carimbo: na compra de 2 pratos principais ganhe 1 porção de kibe frito OU 1 porção de falafel. Segundo carimbo: na compra de 1 prato principal + 1 bebida seu acompanhante ganha outro prato principal + 1 bebida de igual ou menor valor.,Rua Fradique Coutinho 817
bakebun.jpg,bakebun.jpg,Bakebun,@bakebunoficial,E — o. Na compra de 1 Cinnamon 7 7 Roll Cobertura Especial 4 seu acompanhante ganha 4 outro Cinnamon Roll Cobertura Especial.,Rua Padre Carvalho 97
balcone.jpg,balcone.jpg,Balcone,@balcone.sp,Na compra de um prato* seu acompanhante ganha outro de igual ou menor valor. Exceto o prato Polvo Grelhado.,Rua Cristiano Viana 370
bar-do-quintal.jpg,bar-do-quintal.jpg,Bar do Quintal,@bardoguintal,"Na Compra de 1 balde com 4 cervejas 600 ml ganhe a 5º cerveja. OU Na compra de um drink, ganhe outro. Válido Quarta, Quinta e Sexta até às 21h. Aos Sábados e Domingos, na compra de Buffet de Feijoada à vontade seu acompanhante ganha outro Buffet de Feijoada, das",Rua Coropé 87
piraja.jpg,piraja.jpg,Pirajá,@barpiraja,"Na compra de um chopp uma porção da sessão bolinhos""* seu acompanhante ganha outro chopp e outro bolinho de igual ou menor valor. Com exceção do bolinho de bacalhau e cupinzeiro. Válido nas unidades de Pinheiros, Eldorado ou Villa Lobos, somente no Happy Hour das 17h até às 20h.",Sem endereço definido
beer4.jpg,beer4.jpg,Beer4,@beer4upinheiros,"1º Carimbo: Na compra de 1 pint de chope da casa + 1 petisco empanada ou espetinho), ganhe outro pint de chope da casa de igual ou menor valor e outro petisco de igual ou menor valor. 2º carimbo: Na compra de um pint de cervejaria convidada + 1 petisco, ganhe | copo de 500 mi da Pilsen ou Ipa da casa.",Rua João Moura 595
beik-cookies.jpg,beik-cookies.jpg,Beik Cookies,@beik_cookies,"Na compra de 1 cookie, ganhe outro de igual ou menor valor.",Rua dos Pinheiros 248
panda-ya.jpg,panda-ya.jpg,Panda Ya,@bpandaya.dumpling,Na compra de uma porção de Guioza ganhe outra de igual ou menor valor,Rua Fernão Dias 604
braz-trattoria.jpg,braz-trattoria.jpg,Braz Trattoria,@brazpizzaria,"Na compra de 1 prato, ganhe 1 taça de vinho Braz. Válido somente no restaurante da Rua dos Pinheiros, de terça a quinta-feira.",Rua dos Pinheiros 412
capivara.jpg,capivara.jpg,Capivara,@redecapivara,"Na compra de um 1 lanche ou porção, seu acompanhante ganha outro lanche ou outra porção de igual ou menor valor.",Rua Guaicuí 19
carmel-s-pipocas.jpg,carmel-s-pipocas.jpg,Carmel's Pipocas,@carmelspipocas,"Na compra de 1 potão de pipoca, ganhe outro de igual ou menor valor. Não é valido para produtos promocionais e produtos festivos. DESDE 1993 CARMEL'S",Rua Francisco Leitão 285
casquinha-bar.jpg,casquinha-bar.jpg,Casquinha Bar,@casquinha.bar,"Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor.",Rua Ferreira de Araújo 756
cicci-restaurante.jpg,cicci-restaurante.jpg,Cicci Restaurante,@ciccirestaurante,"Primeira visita: na compra de 1 entrada, ganhe outra de igual ou menor valor. Segunda visita: na compra de 1 prato, ganhe outro de igual ou menor valor. (exceto para a Paella de Frutos do Mar)",Rua Morato Coelho 1343
coffee-walk.jpg,coffee-walk.jpg,Coffee Walk,@coffeewalkbr,Primeiro Carimbo: 50% de desconto em qualquer produto. Segundo carimbo: Na compra de um produto vocé ganha outro produto de igual ou menor valor.,Rua Fradique Coutinho 165
daje-roma.jpg,daje-roma.jpg,Daje Roma,@dajeroma_sp,"Na compra de 1 jarra de vinho da casa, ganhe outra jarra de vinho da casa branco, tinto ou rose). Reb, OU ro = se Na compra de 1 Carbonara, a = - seu acompanhante ganha 50% de desconto ao pedir o Tm) a mesmo prato.",Rua Matheus Grou 19
dedo-de-la-chica.jpg,dedo-de-la-chica.jpg,Dedo de La Chica,@dedodelachica,Na compra de 1 rodízio mexicano seu acompanhante ganha 50% de desconto no rodízio do seu acompanhante. La Chica E avos,Rua Fidalga 32
emporio-sao-joao.jpg,emporio-sao-joao.jpg,Empório São João,@emporiosaojoao,"Na compra de 1 nhoque artesanal de batatas ao molho de ragu de carne assada, ganhe outro igual.",Rua dos Pinheiros 456
vino.jpg,vino.jpg,Vino,@vinopinheiros,"Na compra do Menu Harmonizado, seu acompanhante tem 50% de desconto no segundo Menu Harmonizado. Válido todos os dias.",Rua Fradique Coutinho 47
bar-exquisito.jpg,bar-exquisito.jpg,Bar Exquisito,@barexquisito,"Na compra de 1 prato, ganhe outro de igual ou menor valor.",Rua Artur Azevedo 2079
gelato-boutique.jpg,gelato-boutique.jpg,Gelato Boutique,@gelatoboutique,"Na compra de 1 gelato, ganhe outro de igual ou menor valor. Na compra de 1 sobremesa, ganhe outra de igual ou menor valor.",Rua dos Pinheiros 444
octo.jpg,octo.jpg,Octo,@octo.gastrobar,"Na compra de 1 prato, seu acompanhante ganha outro de igual ou menor valor. Exceto prato de Polvo.",Sem endereço definido
petros-greek-taverna.jpg,petros-greek-taverna.jpg,Petros Greek Taverna,@petrosgreektaverna,"Na compra de uma jarra de Clericot, ganhe outra. Na compra de 1 Moussaka, seu acompanhante ganha 50% de desconto na Segunda Moussaka.",Rua Virgílio Carvalho Pinto 137
rendez-vous-bistro.jpg,rendez-vous-bistro.jpg,Rendez-Vous Bistrô,@grendezvous.bistro,"Na compra de 1 combo de brunch, seu acompanhante ganha outro combo de brunch de igual ou menor valor. Valido às sextas, das 10h às 12h e aos sábados, das 9h às 14h.",Rua Fradique Coutinho 179
ripito.jpg,ripito.jpg,Ripito,@ripito.cafeteria,Na compra de 1 Prato Principal (ou do dia) seu acompanhante ganha outro de igual ou menor valor.,Sem endereço definido
sakeumi-restaurante.jpg,sakeumi-restaurante.jpg,Sakeumi Restaurante,@sakeumi.restaurante,"Na compra de 1 Rodízio TRADICIONAL ganhe 50% de desconto no Rodízio TRADICIONAL do seu acompanhante. Válido apenas no rodízio tradicional). Válido no almoço e jantar, de segunda a quinta feira não é válido em feriado e datas comemorativas).",Sem endereço definido
yong-dim-sum.jpg,yong-dim-sum.jpg,Yong Dim Sum,@gyong.dimsum.bar,"Primeiro carimbo*: na compra de 6 Dim Sums ganhe 2 extras de igual ou menor valor. Segundo carimbo*: na compra de 1 Macarrão/Mian, seu acompanhante ganha outro Macarrão/Mian de igual ou menor valor. Válido de 3º a 5º / exceto feriados. Os dois carimbos são válidos de segunda a quinta-feira.",Rua Fradique Coutinho 61
